"Input Order","Search Term","Human GeneID","HGNCID","Human Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene2FunctionDetails"
"8","ABHD10","55347","25656","ABHD10","Fly","35447","FBgn0032981","CG3635","1","0.9","low","Yes","No","eggNOG","","Add","CG3635 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41643","FBgn0023495","Lip3","1","0.9","low","Yes","No","eggNOG","","Add","Lip3 details"
"8","ABHD10","55347","25656","ABHD10","Fly","38277","FBgn0035312","CG15820","1","0.9","low","Yes","No","eggNOG","","Add","CG15820 details"
"8","ABHD10","55347","25656","ABHD10","Fly","251984","FBgn0010053","Jheh1","1","0.9","low","Yes","No","eggNOG","","Add","Jheh1 details"
"8","ABHD10","55347","25656","ABHD10","Fly","40267","FBgn0036996","mag","1","0.9","low","Yes","No","eggNOG","","Add","mag details"
"8","ABHD10","55347","25656","ABHD10","Fly","40357","FBgn0037071","CG7632","1","0.9","low","Yes","No","eggNOG","","Add","CG7632 details"
"8","ABHD10","55347","25656","ABHD10","Fly","36686","FBgn0033999","CG8093","1","0.9","low","Yes","No","eggNOG","","Add","CG8093 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34452","FBgn0032266","CG18302","1","0.9","low","Yes","No","eggNOG","","Add","CG18302 details"
"8","ABHD10","55347","25656","ABHD10","Fly","318591","FBgn0051091","CG31091","1","0.9","low","Yes","No","eggNOG","","Add","CG31091 details"
"8","ABHD10","55347","25656","ABHD10","Fly","48613","FBgn0026570","CG5704","1","0.9","low","Yes","No","eggNOG","","Add","CG5704 details"
"8","ABHD10","55347","25656","ABHD10","Fly","59241","FBgn0042207","CG18530","1","0.9","low","Yes","No","eggNOG","","Add","CG18530 details"
"8","ABHD10","55347","25656","ABHD10","Fly","35733","FBgn0033226","CG1882","1","0.9","low","Yes","No","eggNOG","","Add","CG1882 details"
"8","ABHD10","55347","25656","ABHD10","Fly","39032","FBgn0035951","CG5068","1","0.9","low","Yes","No","eggNOG","","Add","CG5068 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41554","FBgn0038067","CG11598","1","0.9","low","Yes","No","eggNOG","","Add","CG11598 details"
"8","ABHD10","55347","25656","ABHD10","Fly","33265","FBgn0020545","kraken","1","0.9","low","Yes","No","eggNOG","","Add","kraken details"
"8","ABHD10","55347","25656","ABHD10","Fly","34457","FBgn0032271","CG7329","1","0.9","low","Yes","No","eggNOG","","Add","CG7329 details"
"8","ABHD10","55347","25656","ABHD10","Fly","40356","FBgn0037070","CG11309","1","0.9","low","Yes","No","eggNOG","","Add","CG11309 details"
"8","ABHD10","55347","25656","ABHD10","Fly","38274","FBgn0035309","CG15879","1","0.9","low","Yes","No","eggNOG","","Add","CG15879 details"
"8","ABHD10","55347","25656","ABHD10","Fly","37181","FBgn0034405","Jheh2","1","0.9","low","Yes","No","eggNOG","","Add","Jheh2 details"
"8","ABHD10","55347","25656","ABHD10","Fly","31663","FBgn0029942","CG2059","1","0.9","low","Yes","No","eggNOG","","Add","CG2059 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41412","FBgn0265271","CG14717","1","0.9","low","Yes","No","eggNOG","","Add","CG14717 details"
"8","ABHD10","55347","25656","ABHD10","Fly","37182","FBgn0034406","Jheh3","1","0.9","low","Yes","No","eggNOG","","Add","Jheh3 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41555","FBgn0038068","CG11600","1","0.9","low","Yes","No","eggNOG","","Add","CG11600 details"
"8","ABHD10","55347","25656","ABHD10","Fly","48422","FBgn0026593","CG5707","1","0.9","low","Yes","No","eggNOG","","Add","CG5707 details"
"8","ABHD10","55347","25656","ABHD10","Fly","37877","FBgn0034990","CG11406","1","0.9","low","Yes","No","eggNOG","","Add","CG11406 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41556","FBgn0038069","CG11608","1","0.9","low","Yes","No","eggNOG","","Add","CG11608 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34463","FBgn0051871","CG31871","1","0.9","low","Yes","No","eggNOG","","Add","CG31871 details"
"8","ABHD10","55347","25656","ABHD10","Fly","33559","FBgn0031533","CG2772","1","0.9","low","Yes","No","eggNOG","","Add","CG2772 details"
"9","ABHD11","83451","16407","ABHD11","Fly","31663","FBgn0029942","CG2059","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG2059 details"
"9","ABHD11","83451","16407","ABHD11","Fly","41412","FBgn0265271","CG14717","6","5.7","moderate","No","Yes","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, TreeFam","","Add","CG14717 details"
"10","ABLIM2","84448","19195","ABLIM2","Fly","261629","FBgn0051352","Unc-115a","12","11.79","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Unc-115a details"
"10","ABLIM2","84448","19195","ABLIM2","Fly","41178","FBgn0260463","Unc-115b","7","6.79","moderate","No","No","Compara, eggNOG, Hieranoid, OrthoFinder, orthoMCL, Panther, TreeFam","","Add","Unc-115b details"
"11","ACAA2","10449","83","ACAA2","Fly","34313","FBgn0040064","yip2","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","yip2 details"
"11","ACAA2","10449","83","ACAA2","Fly","38147","FBgn0035203","CG9149","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","CG9149 details"
"11","ACAA2","10449","83","ACAA2","Fly","31695","FBgn0029969","CG10932","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","CG10932 details"
"11","ACAA2","10449","83","ACAA2","Fly","37784","FBgn0025352","Thiolase","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","Thiolase details"
"12","ACAD9","28976","21497","ACAD9","Fly","37217","FBgn0034432","CG7461","5","4.81","moderate","Yes","No","eggNOG, Hieranoid, OrthoDB, OrthoFinder, orthoMCL","","Add","CG7461 details"
"12","ACAD9","28976","21497","ACAD9","Fly","36242","FBgn0086712","Egm","3","2.86","moderate","No","Yes","eggNOG, Isobase, OrthoDB","","Add","Egm details"
"13","ACADM","34","89","ACADM","Fly","38864","FBgn0035811","Mcad","14","13.82","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Mcad details"
"13","ACADM","34","89","ACADM","Fly","36242","FBgn0086712","Egm","2","2","low","No","No","eggNOG, Panther","","Add","Egm details"
"13","ACADM","34","89","ACADM","Fly","38979","FBgn0035911","CG6638","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG6638 details"
"13","ACADM","34","89","ACADM","Fly","42364","FBgn0038742","Arc42","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","Arc42 details"
"13","ACADM","34","89","ACADM","Fly","40059","FBgn0036824","CG3902","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG3902 details"
"13","ACADM","34","89","ACADM","Fly","33911","FBgn0031824","CG9547","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG9547 details"
"13","ACADM","34","89","ACADM","Fly","41480","FBgn0037999","CG4860","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG4860 details"
"14","ACADS","35","90","ACADS","Fly","42364","FBgn0038742","Arc42","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Arc42 details"
"14","ACADS","35","90","ACADS","Fly","41480","FBgn0037999","CG4860","8","7.71","moderate","No","Yes","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam","","Add","CG4860 details"
"14","ACADS","35","90","ACADS","Fly","40059","FBgn0036824","CG3902","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","CG3902 details"
"14","ACADS","35","90","ACADS","Fly","38979","FBgn0035911","CG6638","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG6638 details"
"14","ACADS","35","90","ACADS","Fly","33911","FBgn0031824","CG9547","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG9547 details"
"14","ACADS","35","90","ACADS","Fly","38864","FBgn0035811","Mcad","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","Mcad details"
"15","ACADSB","36","91","ACADSB","Fly","40059","FBgn0036824","CG3902","14","13.72","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","CG3902 details"
"15","ACADSB","36","91","ACADSB","Fly","41480","FBgn0037999","CG4860","4","3.76","moderate","No","No","eggNOG, Isobase, OrthoDB, orthoMCL","","Add","CG4860 details"
"15","ACADSB","36","91","ACADSB","Fly","42364","FBgn0038742","Arc42","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","Arc42 details"
"15","ACADSB","36","91","ACADSB","Fly","38979","FBgn0035911","CG6638","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG6638 details"
"15","ACADSB","36","91","ACADSB","Fly","33911","FBgn0031824","CG9547","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG9547 details"
"15","ACADSB","36","91","ACADSB","Fly","38864","FBgn0035811","Mcad","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","Mcad details"
"16","ACADVL","37","92","ACADVL","Fly","37217","FBgn0034432","CG7461","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG7461 details"
"16","ACADVL","37","92","ACADVL","Fly","36242","FBgn0086712","Egm","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","Egm details"
"17","ACAT1","38","93","ACAT1","Fly","31695","FBgn0029969","CG10932","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG10932 details"
"17","ACAT1","38","93","ACAT1","Fly","38147","FBgn0035203","CG9149","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","CG9149 details"
"17","ACAT1","38","93","ACAT1","Fly","34313","FBgn0040064","yip2","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","yip2 details"
"18","ACKR4","51554","1611","ACKR4","Fly","44126","FBgn0266429","AstA-R1","1","0.91","low","Yes","No","Phylome","","Add","AstA-R1 details"
"18","ACKR4","51554","1611","ACKR4","Fly","40019","FBgn0036789","AstC-R2","1","0.91","low","Yes","No","Phylome","","Add","AstC-R2 details"
"19","ACO1","48","117","ACO1","Fly","42689","FBgn0024958","Irp-1A","12","11.86","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Irp-1A details"
"19","ACO1","48","117","ACO1","Fly","41269","FBgn0024957","Irp-1B","11","10.95","moderate","No","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","Irp-1B details"
"19","ACO1","48","117","ACO1","Fly","44149","FBgn0010100","mAcon1","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","mAcon1 details"
"19","ACO1","48","117","ACO1","Fly","41326","FBgn0037862","mAcon2","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","mAcon2 details"
"20","ACO2","50","118","ACO2","Fly","44149","FBgn0010100","mAcon1","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","mAcon1 details"
"20","ACO2","50","118","ACO2","Fly","41326","FBgn0037862","mAcon2","12","11.77","moderate","No","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","mAcon2 details"
"20","ACO2","50","118","ACO2","Fly","42689","FBgn0024958","Irp-1A","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","Irp-1A details"
"20","ACO2","50","118","ACO2","Fly","41269","FBgn0024957","Irp-1B","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","Irp-1B details"
"21","ACOT1","641371","33128","ACOT1","Fly","44441","FBgn0025109","Bem46","1","0.9","low","Yes","No","eggNOG","","Add","Bem46 details"
"21","ACOT1","641371","33128","ACOT1","Fly","37200","FBgn0034419","CG15111","1","0.9","low","Yes","No","eggNOG","","Add","CG15111 details"
"21","ACOT1","641371","33128","ACOT1","Fly","326251","FBgn0053096","CG33096","1","0.9","low","Yes","No","eggNOG","","Add","CG33096 details"
"22","ACOT2","10965","18431","ACOT2","Fly","44441","FBgn0025109","Bem46","1","0.9","low","Yes","No","eggNOG","","Add","Bem46 details"
"22","ACOT2","10965","18431","ACOT2","Fly","37200","FBgn0034419","CG15111","1","0.9","low","Yes","No","eggNOG","","Add","CG15111 details"
"22","ACOT2","10965","18431","ACOT2","Fly","326251","FBgn0053096","CG33096","1","0.9","low","Yes","No","eggNOG","","Add","CG33096 details"
"22","ACOT8","10005","15919","ACOT8","","none found","","","","","","","","","","",""
"23","ACSL1","2180","3569","ACSL1","Fly","40056","FBgn0036821","CG3961","12","11.72","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam","","Add","CG3961 details"
"23","ACSL1","2180","3569","ACSL1","Fly","44117","FBgn0027348","bgm","2","1.83","low","No","No","Compara, eggNOG","","Add","bgm details"
"23","ACSL1","2180","3569","ACSL1","Fly","34822","FBgn0286723","hll","2","1.83","low","No","No","Compara, eggNOG","","Add","hll details"
"23","ACSL1","2180","3569","ACSL1","Fly","46068","FBgn0263120","Acsl","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","Acsl details"
"24","ACSL4","2182","3571","ACSL4","Fly","46068","FBgn0263120","Acsl","13","12.82","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Acsl details"
"24","ACSL4","2182","3571","ACSL4","Fly","44117","FBgn0027348","bgm","2","1.83","low","No","No","Compara, eggNOG","","Add","bgm details"
"24","ACSL4","2182","3571","ACSL4","Fly","34822","FBgn0286723","hll","2","1.83","low","No","No","Compara, eggNOG","","Add","hll details"
"24","ACSL4","2182","3571","ACSL4","Fly","40056","FBgn0036821","CG3961","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","CG3961 details"
"25","ACSL5","51703","16526","ACSL5","Fly","40056","FBgn0036821","CG3961","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG3961 details"
"25","ACSL5","51703","16526","ACSL5","Fly","46068","FBgn0263120","Acsl","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","Acsl details"
"26","ACSS3","79611","24723","ACSS3","Fly","42901","FBgn0039184","CG6432","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG6432 details"
"26","ACSS3","79611","24723","ACSS3","Fly","40348","FBgn0012034","AcCoAS","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","AcCoAS details"
"27","ADAM28","10863","206","ADAM28","Fly","3772109","FBgn0265140","Meltrin","8","7.95","moderate","Yes","No","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp","","Add","Meltrin details"
"27","ADAM28","10863","206","ADAM28","Fly","32561","FBgn0259110","mmd","5","4.97","moderate","No","No","Compara, eggNOG, OrthoDB, Panther, RoundUp","","Add","mmd details"
"27","ADAM28","10863","206","ADAM28","Fly","34772","FBgn0259984","kuz","2","1.94","low","No","No","Compara, OrthoDB","","Add","kuz details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","31490","FBgn0029791","CG4096","10","9.89","moderate","Yes","No","Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","CG4096 details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","41887","FBgn0286071","AdamTS-A","4","3.74","moderate","No","No","Compara, eggNOG, OrthoDB, orthoMCL","","Add","AdamTS-A details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","37619","FBgn0086408","stl","2","2","moderate","No","Yes","eggNOG, Panther","","Add","stl details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","34435","FBgn0032252","loh","3","2.93","low","No","No","Compara, eggNOG, Panther","","Add","loh details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","35424","FBgn0051619","nolo","2","2","low","No","No","eggNOG, Panther","","Add","nolo details"
"28","ADAMTS12","81792","14605","ADAMTS12","Fly","43872","FBgn0003137","Ppn","2","1.83","low","No","No","Compara, eggNOG","","Add","Ppn details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","31490","FBgn0029791","CG4096","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoInspector, Panther","","Add","CG4096 details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","41887","FBgn0286071","AdamTS-A","4","3.77","moderate","No","No","eggNOG, OrthoDB, orthoMCL, TreeFam","","Add","AdamTS-A details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","37619","FBgn0086408","stl","2","2","moderate","No","Yes","eggNOG, Panther","","Add","stl details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","34435","FBgn0032252","loh","3","2.93","low","No","No","Compara, eggNOG, Panther","","Add","loh details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","43872","FBgn0003137","Ppn","3","2.93","low","No","No","Compara, eggNOG, Panther","","Add","Ppn details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","35424","FBgn0051619","nolo","2","2","low","No","No","eggNOG, Panther","","Add","nolo details"
"29","ADAMTS16","170690","17108","ADAMTS16","Fly","37762","FBgn0034903","sona","2","1.9","low","No","No","eggNOG, OrthoFinder","","Add","sona details"
"30","ADCY1","107","232","ADCY1","Fly","32406","FBgn0003301","rut","12","11.81","high","Yes","Yes","eggNOG, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","rut details"
"30","ADCY1","107","232","ADCY1","Fly","40153","FBgn0261360","CG42637","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","CG42637 details"
"30","ADCY1","107","232","ADCY1","Fly","39835","FBgn0263131","CG43373","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","CG43373 details"
"30","ADCY1","107","232","ADCY1","Fly","38285","FBgn0052301","CG32301","2","1.83","low","No","No","Compara, eggNOG","","Add","CG32301 details"
"30","ADCY1","107","232","ADCY1","Fly","38284","FBgn0040507","ACXD","2","1.83","low","No","No","Compara, eggNOG","","Add","ACXD details"
"30","ADCY1","107","232","ADCY1","Fly","317967","FBgn0052305","CG32305","2","1.83","low","No","No","Compara, eggNOG","","Add","CG32305 details"
"30","ADCY1","107","232","ADCY1","Fly","43493","FBgn0013972","Gycalpha99B","2","1.83","low","No","No","Compara, eggNOG","","Add","Gycalpha99B details"
"30","ADCY1","107","232","ADCY1","Fly","53432","FBgn0040510","ACXA","2","1.83","low","No","No","Compara, eggNOG","","Add","ACXA details"
"30","ADCY1","107","232","ADCY1","Fly","34553","FBgn0010197","Gyc32E","2","1.83","low","No","No","Compara, eggNOG","","Add","Gyc32E details"
"30","ADCY1","107","232","ADCY1","Fly","53427","FBgn0040509","ACXB","2","1.83","low","No","No","Compara, eggNOG","","Add","ACXB details"
"30","ADCY1","107","232","ADCY1","Fly","40180","FBgn0004852","Ac76E","2","1.83","low","No","No","Compara, eggNOG","","Add","Ac76E details"
"30","ADCY1","107","232","ADCY1","Fly","53426","FBgn0040506","ACXE","2","1.83","low","No","No","Compara, eggNOG","","Add","ACXE details"
"30","ADCY1","107","232","ADCY1","Fly","34689","FBgn0040508","ACXC","2","1.83","low","No","No","Compara, eggNOG","","Add","ACXC details"
"30","ADCY1","107","232","ADCY1","Fly","8674026","FBgn0266136","Gyc76C","2","1.83","low","No","No","Compara, eggNOG","","Add","Gyc76C details"
"30","ADCY1","107","232","ADCY1","Fly","35419","FBgn0023416","Ac3","2","1.8","low","No","No","eggNOG, orthoMCL","","Add","Ac3 details"
"31","ADGB","79747","21212","ADGB","Fly","318096","FBgn0052579","CG32579","1","0.9","low","Yes","No","eggNOG","","Add","CG32579 details"
"31","ADGB","79747","21212","ADGB","Fly","44014","FBgn0003464","sol","1","0.9","low","Yes","No","eggNOG","","Add","sol details"
"31","ADGB","79747","21212","ADGB","Fly","39165","FBgn0025866","CalpB","1","0.9","low","Yes","No","eggNOG","","Add","CalpB details"
"31","ADGB","79747","21212","ADGB","Fly","32597","FBgn0260450","CalpC","1","0.9","low","Yes","No","eggNOG","","Add","CalpC details"
"31","ADGB","79747","21212","ADGB","Fly","37232","FBgn0012051","CalpA","1","0.9","low","Yes","No","eggNOG","","Add","CalpA details"
"32","ADGRF4","221393","19011","ADGRF4","Fly","318046","FBgn0052476","mthl14","1","0.91","low","Yes","Yes","Phylome","","Add","mthl14 details"
